番号,住所,ホール名,状態
190,東京都昭島市武蔵野2-9-3,(S)ビーム 昭島店,休業(2020/04/26～2020/05/21)、再開(2020/05/22～)
191,東京都昭島市昭和町2-5-8,AIS 昭島店,休業(2020/04/25～2020/05/26)、再開(2020/05/27～)
192,東京都昭島市昭和町5-11-16,アミージャ・アミーゴ 昭島店,休業(2020/04/24～2020/05/26)、再開(2020/05/27～)
193,東京都昭島市武蔵野3-11-33,キクヤ 昭島店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
194,東京都昭島市昭和町5-11-10,ザ・チャンス 昭島店,休業(2020/04/23～2020/06/12)、再開(2020/06/13～)
195,東京都昭島市朝日町1-2-18,ビーナス 中神店,休業(2020/04/22～2020/05/27)、再開(2020/05/28～)
196,東京都昭島市武蔵野3-8-20,プラザ5 昭島店,休業(2020/04/28～)、再開
197,東京都昭島市武蔵野2-24-12,マルハン 昭島店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
198,東京都新宿区新宿3-36-1,(S)グリンピース 新宿本店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
199,東京都新宿区西早稲田2-5-14,MIYOSHI344 早稲田店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
200,東京都新宿区高田馬場4-17-15東陽ビル,TOYO104 高田馬場店,休業(2020/04/08～2020/05/26)、再開(2020/05/27～)
201,東京都新宿区西新宿1-19-1,アラジン 新宿店,休業(2020/04/13～2020/05/25)、再開(2020/05/26～)
202,東京都新宿区高田馬場2-14-11日拓ビル,エスパス日拓 高田馬場本店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
203,東京都新宿区歌舞伎町1-23-3①,エスパス日拓 新宿歌舞伎町店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
204,東京都新宿区百人町1-11-20,エスパス日拓 新大久保駅前店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
205,東京都新宿区歌舞伎町1-25-4日拓新宿第1ビル①,エスパス日拓 西武新宿駅前店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
206,東京都新宿区神楽坂1-14,オアシス 飯田橋店,休業(2020/04/24～2020/05/25)、再開(2020/05/26～)
207,東京都新宿区西新宿7-1-1新宿カレイドビル,カレイド 新宿店,休業(2020/04/08～2020/05/29)、再開(2020/05/30～)
208,東京都新宿区新宿3-6-7第6三和ビル,キコーナ 新宿3丁目店,休業(2020/04/08～2020/05/28)、再開(2020/05/29～)
209,東京都新宿区中落合1-17-2,クラウン 中井店,休業(2020/04/25～2020/05/06)、再開(2020/05/07～)
210,東京都新宿区大久保2-31-1(旧)中部財務大久保ビル,グランパ 大久保店,休業(2020/04/11～2020/05/27)、再開(2020/05/28～)
211,東京都新宿区高田馬場4-7-5グランド東京ビル,コスモ 高田馬場店,休業(2020/04/11～2020/05/06、2020/05/10～2020/05/25)、再開(2020/05/26～)
212,東京都新宿区四谷1-18-1,コメット 四谷店,休業(2020/04/11～2020/05/28)、再開(2020/05/29～)
213,東京都新宿区舟町1-9東和四谷ビル,タイガー 四谷店,休業(2020/04/11～2020/05/29)、再開(2020/05/30～)
214,東京都新宿区西早稲田1-16-3古菅ビル,パイナップル 早稲田店,休業(2020/04/22～)、再開
